district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
嘉定,华亭镇,33,0.20425374174173141,0.13699464520924362,0.19585652308542903,0.19550862576019895,0.21283883014108507,0.17263792892787863
嘉定,南翔镇,1881,0.09909996648990126,0.11530583667330939,0.30205981812799737,0.3336112695102339,0.2759394766126108,0.2881459740379602
嘉定,嘉定镇街道,1222,0.1297836429173912,0.14457637618532354,0.3489379412920616,0.42575918937258805,0.298155809661208,0.2971189286464144
嘉定,外冈镇,404,0.12405907311146612,0.13782431917223942,0.3365175559031889,0.4464087568844717,0.28482837779353437,0.23305648368665258
嘉定,安亭镇,1895,0.12220081781349507,0.12190748102341505,0.2842504530254355,0.3148136457826791,0.27657304603782323,0.24609771439650277
嘉定,徐行镇,494,0.12612236124518253,0.13028512894177655,0.3066560877065029,0.3922019529831093,0.2512275166402606,0.24738270275667193
嘉定,新成路街道,1440,0.1178896827942929,0.13772243495797168,0.34677158629386917,0.4083926608816754,0.30337436673987744,0.3089339743289674
嘉定,江桥镇,2100,0.08432882850679985,0.08434856741142631,0.2140405058117607,0.21876083837237664,0.20750572698641945,0.21563666407025303
嘉定,真新街道,926,0.09882937646741963,0.14685378412193728,0.41055953911617715,0.4980262692569769,0.3567988052894571,0.34587779824830556
嘉定,马陆镇,1077,0.12895016414760174,0.13561900830016257,0.32005954361161926,0.2919196369197309,0.37039073514994153,0.29461972616498944
奉贤,南桥镇,1390,0.11026060212997454,0.09878377151044553,0.22186149503088468,0.22487653257110315,0.21853328780947753,0.2216969250765051
奉贤,四团镇,163,0.12832612833536022,0.08813969436250212,0.1472685260134042,0.13816433235731937,0.16372324625528004,0.13879862752451372
奉贤,奉城镇,457,0.14226401577441455,0.11763619696626627,0.23346685830105948,0.18451184139705754,0.27820311893073557,0.24916412046591616
奉贤,奉浦街道,1177,0.09675018593603447,0.10043926822585646,0.25255202438839586,0.2514785551379508,0.2665889349001059,0.23461790047271408
奉贤,庄行镇,112,0.13135782150501996,0.10237392692185948,0.19660534675622815,0.25384099749529015,0.16434793747332452,0.15018867856979398
奉贤,柘林镇,164,0.13179307785265212,0.13912103605016507,0.3273421678408798,0.46175066454461794,0.2400105380332793,0.23455285484553967
奉贤,海湾镇,968,0.12171003611544727,0.09797032312410216,0.1972409554987753,0.20788968596129917,0.18211275589457154,0.20138246620462233
奉贤,西渡街道,481,0.1021220549718518,0.11277217533154718,0.288438581977288,0.3211113711886366,0.28425232353009205,0.24202288106520464
奉贤,金汇镇,1220,0.0961466812615682,0.09226444945355577,0.22240821474611608,0.2364830291456754,0.21453990713847504,0.21090414235751864
奉贤,青村镇,180,0.12668909245599297,0.11057134374895931,0.23553801284286044,0.21563117839031956,0.28541014179143065,0.19756796743892752
宝山,友谊街道,1417,0.09971234385030442,0.13190125166085143,0.35905167358842,0.40428517447403023,0.3357585220992747,0.3192884842562472
宝山,吴淞镇街道,524,0.11048903078540959,0.15918971169433527,0.4300116870409427,0.5224807338100276,0.3727801546031179,0.3621853576233616
宝山,大场镇,2448,0.1228312522815853,0.1297352379912738,0.30945723322868646,0.33765851910421796,0.2930841806624966,0.28725744942050196
宝山,庙行镇,581,0.05703569638478993,0.06163851748571047,0.17481382751143135,0.09159378910248048,0.219383551744112,0.24556827503999987
宝山,张庙街道,683,0.08681022719175516,0.0898511301696609,0.23081009758876847,0.19103935722830673,0.247137554603304,0.27158484234515734
宝山,月浦镇,872,0.12329465622899233,0.17944196554279246,0.4712088667277552,0.6725927655940638,0.3569679594266597,0.30893189876319527
宝山,杨行镇,1227,0.0936804367440813,0.09140157032343928,0.22363347346499743,0.22923608352611052,0.21103512214721962,0.23230698921210555
宝山,淞南镇,448,0.09956560450101211,0.1415589425695228,0.3913884012506519,0.4346669296036804,0.380285932448801,0.3376862122083975
宝山,罗店镇,1689,0.10382761224903268,0.10228963271864817,0.24599377550182971,0.27131361314219943,0.23530987984777305,0.22043948919291756
宝山,罗泾镇,525,0.11852487724772684,0.1380336365901734,0.34690605051224943,0.46942928354890895,0.29238327977988626,0.2272007566789028
宝山,顾村镇,2702,0.11566224011944606,0.1393927853931138,0.35559140662970756,0.397165106456741,0.34885173094721234,0.2985090328619472
宝山,高境镇,633,0.09086531319216717,0.13502102544404065,0.38508724080242834,0.4402921542671476,0.35994808369263254,0.33195419921259184
崇明,三星镇,2,0.10628885691832346,0.0612698775271413,0.2307415338793401,0.34053420023465186,0.15758701662591368,0.15748959186563832
