metric,value
output_rows,175128.0
unique_house_id,175128.0
duplicate_house_id,0.0
shanghai_scope_rows,173831.0
non_shanghai_rows,1297.0
geocoded_rows_shanghai_scope,153870.0
valid_algorithm_rows,152105.0
missing_geocode_rows_shanghai_scope,19961.0
official_street_assigned_rows,153859.0
district_matches_source_rows,152116.0
district_mismatch_rows,1754.0
valid_street_algorithm_rows,152105.0
unit_price_min,2808.9887640449438
unit_price_median,48387.096774193546
unit_price_max,596421.4711729622
