geocode_key,district,street_source,community_name,row_count
闵行-莘庄南广场-上海康城,闵行,莘庄南广场,上海康城,249
浦东-临港新城-滴水湖馨苑(公寓住宅),浦东,临港新城,滴水湖馨苑(公寓住宅),175
闵行-七宝-万科城市花园,闵行,七宝,万科城市花园,139
松江-松江大学城-保利西子湾,松江,松江大学城,保利西子湾,123
浦东-周浦-美林小城,浦东,周浦,美林小城,118
长宁-天山-仁恒河滨花园,长宁,天山,仁恒河滨花园,113
浦东-陆家嘴-汤臣商务中心,浦东,陆家嘴,汤臣商务中心,109
浦东-高行-绿地崴廉公寓,浦东,高行,绿地崴廉公寓,103
浦东-张江-张江汤臣豪园二期,浦东,张江,张江汤臣豪园二期,93
普陀-真如-高尚领域(商住楼),普陀,真如,高尚领域(商住楼),90
浦东-康桥-康桥半岛城中花园,浦东,康桥,康桥半岛城中花园,88
宝山-顾村-金地天地云墅(公寓住宅),宝山,顾村,金地天地云墅(公寓住宅),84
浦东-塘桥-蓝高小区,浦东,塘桥,蓝高小区,79
闵行-老闵行-新华小区(老闵行),闵行,老闵行,新华小区(老闵行),74
黄浦-蓬莱公园-中福浦江汇(中福花苑二期),黄浦,蓬莱公园,中福浦江汇(中福花苑二期),71
静安-彭浦-共康四村,静安,彭浦,共康四村,70
青浦-赵巷-合生御廷(别墅),青浦,赵巷,合生御廷(别墅),69
嘉定-江桥新城-绿地新江桥城(东区),嘉定,江桥新城,绿地新江桥城(东区),68
徐汇-华东理工-梅陇十一村,徐汇,华东理工,梅陇十一村,68
浦东-金桥-丽都成品,浦东,金桥,丽都成品,67
浦东-高行-宝佳苑,浦东,高行,宝佳苑,67
闵行-龙柏金汇-龙柏二村,闵行,龙柏金汇,龙柏二村,66
宝山-罗南-美罗家园宝欣苑九村,宝山,罗南,美罗家园宝欣苑九村,66
宝山-高境-高境二村,宝山,高境,高境二村,64
浦东-外高桥-高行绿洲六期,浦东,外高桥,高行绿洲六期,64
普陀-万里城-中鹰黑森林(中环凯旋宫),普陀,万里城,中鹰黑森林(中环凯旋宫),62
闵行-春申-上海星河湾(二期),闵行,春申,上海星河湾(二期),61
长宁-仙霞-水霞小区,长宁,仙霞,水霞小区,61
浦东-金桥-晶波坊,浦东,金桥,晶波坊,60
浦东-三林-三林安居苑,浦东,三林,三林安居苑,59
浦东-梅园-梅园四街坊(福沈小区),浦东,梅园,梅园四街坊(福沈小区),59
浦东-梅园-梅园新村(浦东),浦东,梅园,梅园新村(浦东),59
普陀-长风-中海紫御豪庭(一二期公寓住宅),普陀,长风,中海紫御豪庭(一二期公寓住宅),58
浦东-周浦-绿地景汇佳苑,浦东,周浦,绿地景汇佳苑,58
浦东-金桥-东陆新村二街坊,浦东,金桥,东陆新村二街坊,57
浦东-金桥-金桥新城(二期),浦东,金桥,金桥新城(二期),57
嘉定-嘉定新城-龙湖郦城(西区公寓住宅),嘉定,嘉定新城,龙湖郦城(西区公寓住宅),57
松江-佘山-佘北家园嘉枫苑,松江,佘山,佘北家园嘉枫苑,56
金山-金山新城-赞成红树林家园,金山,金山新城,赞成红树林家园,56
浦东-新场-丝庐雅苑(二期公寓住宅),浦东,新场,丝庐雅苑(二期公寓住宅),56
黄浦-老西门-老西门新苑,黄浦,老西门,老西门新苑,55
闵行-浦江-瑞和雅苑壹街区,闵行,浦江,瑞和雅苑壹街区,55
松江-九亭-志成花苑知雅汇(公寓住宅),松江,九亭,志成花苑知雅汇(公寓住宅),54
松江-泗泾-牡丹逸庭,松江,泗泾,牡丹逸庭,54
浦东-张江-玉兰香苑(三期),浦东,张江,玉兰香苑(三期),54
闵行-浦江-浦江瑞和城玖街区,闵行,浦江,浦江瑞和城玖街区,53
嘉定-南翔-上隽嘉苑(公寓住宅),嘉定,南翔,上隽嘉苑(公寓住宅),53
